Name,Link,Nationality,Birth,Demise
"Ashby, William Jr.",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=33140,American,1879,1944
"Ashton, Ethel V.",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=33141,American,1896,1975
"Askin, Walter Miller",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=2925,American,born 1929,Unknown
"Aslund, Acke",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=2926,Swedish,1881,1958
"Asne, Michel l'",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=5642,French,1590 or before,1667
"Aspertini, Amico",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=121,Italian,1474/1475,1552
"Aspetti, Tiziano",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=5543,Italian,1557/1559,1606
"Asselijn, Jan",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=5865,Dutch,c. 1610,1652
"Assereto, Gioacchino",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=10216,Italian,1600,1649
"Ast, Balthasar van der",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=9893,Dutch,1593/1594,1657
"Atget, Eugène",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=13548,French,1857,1927
"Atget, Jean Eugène Auguste",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=13548,French,1857,1927
"Atkins, Anna",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=30440,British,1799,1871
"Atkins, Florence Elizabeth",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=8271,American,active c. 1936,Unknown
"Atkinson, Isaac",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=21330,British,1813,1877
"Atkinson, Ralph",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=7217,American,active c. 1935,Unknown
"Atkinson, Randolph",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=7218,American,active c. 1935,Unknown
"Attiret, Jean-Denis",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=3665,French,1702,1768
"Atwater, Lyman W.",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=6480,Unknown,Unknown,Unknown
"Aubelin, M. Io. Albert",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=6274,Unknown,Unknown,Unknown
Aubert,https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=12675,Unknown,Unknown,Unknown
"Aubert, Antoine",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=6570,French,born c. 1783,Unknown
"Aubert, Michel",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=2928,French,1700 or 1704,1757
"Auberty, Jacqueline",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=7146,Unknown,Unknown,Unknown
"Aubry, Abraham",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=12036,French,active 1650/1682,Unknown
"Aubry, Etienne",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2930,French,1745,1781
"Aubry, Pierre",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=10712,French,1610,1686
"Aubusson Tapestry Factory, Atelier Braquenie",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=6957,French,active 20th century,Unknown
"Aubusson Tapestry Factory, Atelier Picaud",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=6956,French,active 20th century,Unknown
"Aubusson Tapestry Factory, Atelier Tabard",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=5488,French,active 20th century,Unknown
"Audenaerd, Robert van",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2931,Flemish,1663,1743
"Auden-Aert, Robert van",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2931,Flemish,1663,1743
"Audette, Anna Held",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2932,American,born c. 1939,Unknown
"Audiganne, Armand",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=6969,French,1814,1875
"Audran, Benoît",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2934,French,1661,1721
"Audran, Benoît",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2935,French,1698,1772
"Audran, Gérard",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2936,French,1640,1703
"Audran, Jean",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2937,French,1667,1756
"Audran I, Benoît",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2934,French,1661,1721
"Audran II, Benoît",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2935,French,1698,1772
"Audran III, Claude",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2300,French,1658,1734
"Audubon, John James",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=122,American,1785,1851
"Audubon, John Woodhouse",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=128,American,1812,1862
"Auer, Magda Felicitas",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2938,German,born 1902,Unknown
"Auerbach, Frank",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=15326,British,born 1931,Unknown
"Auerbach, Frank Helmuth",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=15326,British,born 1931,Unknown
"Auerbach-Levy, William",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2939,American,1889,1964
"Aufray de Roc' Bhian, Alphonse-Edouard-Enguerand",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=2940,French,1833,1887
Augsburg 15th Century,https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=31606,Unknown,Unknown,Unknown
Augsburg 16th Century,https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=10068,Unknown,Unknown,Unknown
"Auguste, Henri",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=27287,French,born 1759,Unknown
"Auguste, Jules-Robert",https://web.archive.org/web/20121010213135/http://www.nga.gov/cgi-bin/tsearch?artistid=21235,French,1789,1850
Auguste Giraudon's Artist,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=26506,French,active 1870s,Unknown
"Aull, Robert",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=14966,Unknown,Unknown,Unknown
"Ault, George",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=22237,American,1891,1948
"Auriol, George",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=17811,French,1863,1938
"Aury, Pierre",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=23139,Dutch,active 1672,Unknown
"Aury, Pierre F.(?)",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=23139,Dutch,active 1672,Unknown
"Austen, John",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=16983,British,1886,1948
"Austin, Diedre",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=25772,Unknown,Unknown,Unknown
"Austin, Frederick George",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2941,British,born 1902,Unknown
"Austin, Ralph",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=33142,American,1912,1997
"Austin, Robert Sargent",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2350,British,1895,1973
Austrian 12th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2820,Unknown,Unknown,Unknown
Austrian 14th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=9802,Unknown,Unknown,Unknown
Austrian 15th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2821,Unknown,Unknown,Unknown
Austrian 16th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2010,Unknown,Unknown,Unknown
Austrian 17th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2822,Unknown,Unknown,Unknown
Austrian 18th Century,https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=6685,Unknown,Unknown,Unknown
"Auvil, Kenneth William",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=34612,American,1925,1999
"Auvray, Pierre-Laurent",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2942,French,born 1736,Unknown
"Auwercx, Albert",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=5489,Flemish,active 1657/1680,Unknown
"Avati, Mario",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2943,French,born 1921,Unknown
"Aved, Jacques-Andre-Joseph-Camelot",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2944,French,1702,1766
"Avedisian, Edward",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=5903,American,born 1936,Unknown
"Aveline, Antoine",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=19749,French,1691,1743
"Aveline, Francois-Antoine",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=6034,French,1727,1780
"Aveline, Pierre-Alexandre",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2946,French,probably 1702,1760
"Avelli, Francesco Xanto",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=2336,Italian,active 1530/1542,Unknown
"Avercamp, Hendrick",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=129,Dutch,1585,1634
"Averlino, Antonio",https://web.archive.org/web/20121010213043/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,1469
"Averlino, Antonio, called Filarete",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,1469
"Averlino, Antonio di Pietro",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,1469
"Averlino, called Filarete, Antonio",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,Italian,c. 1400,1469
"Avery, George A.",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=6455,American,mentioned 1868,active 1871/1881
"Avery, March",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=26467,Unknown,Unknown,Unknown
"Avery, Milton",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=2947,American,1885,1965
"Aviler, Augustin-Charles d'",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=11388,French,1653,1701
"Aviline, Francois Antoine",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=6034,French,1727,1780
"Avont, Peeter van",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=35860,Flemish,1600,1652
"Avril I, Jean-Jacques",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=2948,French,1744,1831
"Axmann, Mikolás",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=24893,Czech,born 1955,Unknown
"Aycock, Alice",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=6511,American,born 1946,Unknown
"Ayers, G.A.",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=7220,American,active c. 1935,Unknown
"Aylesford, Heneage Finch, 4th Earl of",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=22404,British,1751,1812
"Ayres, Rolland",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=7221,American,active c. 1935,Unknown
"Azuma, Kengiro",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=5927,Japanese,born 1926,Unknown
"Azuma, Norio",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=2949,American,born 1928,Unknown
"Azzarone, Jennifer",https://web.archive.org/web/20121010213022/http://www.nga.gov/cgi-bin/tsearch?artistid=25879,Unknown,Unknown,Unknown
"Ariosto, Lodovico",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=6968,Italian,1474,1533
"Arita, Takeshi",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=25678,Unknown,Unknown,Unknown
"Arland, Marcel",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=14538,French,1899,1986
Arman,https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=10497,American,1928,2005
"Armata, Ludmila",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=23989,Polish,born 1954,Unknown
"Armington, Caroline Helena",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2917,French,1875,1939
"Arms, John Taylor",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2348,American,1887,1953
"Arnal, François",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2918,French,born 1924,Unknown
"Arnaud, Aloysio",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=22225,French (?),active c. 1825/1846,Unknown
"Arndt, Gertrud",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=24618,German,1903,2000
"Arnéra, H.",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=23486,French,active 20th century,Unknown
"Arnold, Madeline",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=7216,American,active c. 1935,Unknown
"Arnold, Brooks",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=23280,Unknown,Unknown,Unknown
"Arnoldi, Charles",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=6869,American,born 1946,Unknown
"Arnout, Jean-Baptiste",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=10437,French,1788,after 1865
"Arntz, Gerd",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=5698,German,born 1900,Unknown
"Arondeaux, Regnier",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=23760,Flemish,active 1678/1702,Unknown
"Aronson, Irene",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2920,American,born 1918,Unknown
"Arp, Hans",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2009,French,1886,1966
"Arp, Jean",https://web.archive.org/web/20080617202820/http://www.nga.gov/cgi-bin/tsearch?artistid=2009,French,1886,1966
"Arpino, Cavaliere d'",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2428,Italian,1568,1640
"Artaria, Domenico",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=6642,Italian,active late 18th century,Unknown
"Arteaga, Francisco de",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=12112,Spanish,active 1671,Unknown
"Arteaga y Alfaro, Matias",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=12114,Spanish,c. 1630,1703
Artist Unknown,https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=6347,Unknown,Unknown,Unknown
"Artsay, N.",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2922,Unknown,active probably 19th century,Unknown
"Artschwager, Richard",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=6942,American,born 1923,Unknown
"Artvelt, Andries van",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=25148,Flemish,1590,1652
"Artzybasheff, Boris",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2923,American,1899,1965
"Asam, Egid Quirin",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2349,German,1692,1750
"Asam, Cosmas Damian",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=28316,German,1686,1739
"Asawa, Ruth",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2924,American,born 1926,Unknown
"Aschheim, Eve",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=22098,American,born 1958,Unknown
Ascian,https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=4952,American,born 1943,Unknown
"Ashbery, John",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=21125,American,born 1927,Unknown
"Askin, Walter Miller",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2925,American,born 1929,Unknown
"Aslund, Acke",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=2926,Swedish,1881,1958
"Asne, Michel l'",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=5642,French,1590 or before,1667
"Aspertini, Amico",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=121,Italian,1474/1475,1552
"Aspetti, Tiziano",https://web.archive.org/web/20080617202825/http://www.nga.gov/cgi-bin/tsearch?artistid=5543,Italian,1557/1559,1606
"Asselijn, Jan",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=5865,Dutch,c. 1610,1652
"Assereto, Gioacchino",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=10216,Italian,1600,1649
"Ast, Balthasar van der",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=9893,Dutch,1593/1594,1657
"Atget, Eugène",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=13548,French,1857,1927
"Atget, Jean Eugène Auguste",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=13548,French,1857,1927
"Atkins, Florence Elizabeth",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=8271,American,active c. 1936,Unknown
"Atkins, Anna",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=30440,British,1799,1871
"Atkinson, Ralph",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=7217,American,active c. 1935,Unknown
"Atkinson, Randolph",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=7218,American,active c. 1935,Unknown
"Atkinson, Isaac",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=21330,British,1813,1877
"Attiret, Jean-Denis",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=3665,French,1702,1768
"Atwater, Lyman W.",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=6480,Unknown,Unknown,Unknown
"Aubelin, M. Io. Albert",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=6274,Unknown,Unknown,Unknown
"Aubert, Michel",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=2928,French,1700 or 1704,1757
"Aubert, Antoine",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=6570,French,born c. 1783,Unknown
Aubert,https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=12675,Unknown,Unknown,Unknown
"Auberty, Jacqueline",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=7146,Unknown,Unknown,Unknown
"Aubry, Etienne",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=2930,French,1745,1781
"Aubry, Pierre",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=10712,French,1610,1686
"Aubry, Abraham",https://web.archive.org/web/20080617202929/http://www.nga.gov/cgi-bin/tsearch?artistid=12036,French,active 1650/1682,Unknown
"Aubusson Tapestry Factory, Atelier Tabard",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=5488,French,active 20th century,Unknown
"Aubusson Tapestry Factory, Atelier Picaud",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=6956,French,active 20th century,Unknown
"Aubusson Tapestry Factory, Atelier Braquenie",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=6957,French,active 20th century,Unknown
"Audenaerd, Robert van",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2931,Flemish,1663,1743
"Auden-Aert, Robert van",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2931,Flemish,1663,1743
"Audette, Anna Held",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2932,American,born c. 1939,Unknown
"Audiganne, Armand",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=6969,French,1814,1875
"Audran, Benoît",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2934,French,1661,1721
"Audran, Benoît",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2935,French,1698,1772
"Audran, Gérard",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2936,French,1640,1703
"Audran, Jean",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2937,French,1667,1756
"Audran I, Benoît",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2934,French,1661,1721
"Audran II, Benoît",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2935,French,1698,1772
"Audran III, Claude",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2300,French,1658,1734
"Audubon, John James",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=122,American,1785,1851
"Audubon, John Woodhouse",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=128,American,1812,1862
"Auer, Magda Felicitas",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2938,German,born 1902,Unknown
"Auerbach, Frank",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=15326,British,born 1931,Unknown
"Auerbach, Frank Helmuth",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=15326,British,born 1931,Unknown
"Auerbach-Levy, William",https://web.archive.org/web/20080617202935/http://www.nga.gov/cgi-bin/tsearch?artistid=2939,American,1889,1964
"Aufray de Roc' Bhian, Alphonse-Edouard-Enguerand",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2940,French,1833,1887
Augsburg 16th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=10068,German,1500,1599
"Auguste, Jules-Robert",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=21235,French,1789,1850
"Auguste, Henri",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=27287,French,born 1759,Unknown
Auguste Giraudon's Artist,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=26506,French,active 1870s,Unknown
"Aull, Robert",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=14966,Unknown,Unknown,Unknown
"Auriol, George",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=17811,French,1863,1938
"Aury, Pierre",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=23139,Dutch,active 1672,Unknown
"Aury, Pierre F.(?)",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=23139,Dutch,active 1672,Unknown
"Austen, John",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=16983,British,1886,1948
"Austin, Robert Sargent",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2350,British,1895,1973
"Austin, Frederick George",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2941,British,born 1902,Unknown
"Austin, Diedre",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=25772,Unknown,Unknown,Unknown
Austrian 12th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2820,Austrian,1100,1199
Austrian 14th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=9802,Austrian,1300,1399
Austrian 15th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2821,Austrian,1400,1499
Austrian 16th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2010,Austrian,1500,1599
Austrian 17th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2822,Austrian,1600,1699
Austrian 18th Century,https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=6685,Austrian,1700,1799
"Auvray, Pierre-Laurent",https://web.archive.org/web/20080617202940/http://www.nga.gov/cgi-bin/tsearch?artistid=2942,French,born 1736,Unknown
"Auwercx, Albert",https://web.archive.org/web/20080617202951/http://www.nga.gov/cgi-bin/tsearch?artistid=5489,Flemish,active 1657/1680,Unknown
